time,latitude,longitude,depth,mag
2006-08-04T07:45:47.740Z,52.121,171.035,10,5.5
2006-08-06T18:16:39.720Z,26.119,144.011,20,5.9
2006-08-07T22:18:55.090Z,-15.798,167.789,150,6.8
2006-08-12T18:39:17.240Z,28.789,130.016,22,5.5
2006-08-15T03:05:11.000Z,-4.672,126.734,16,5.9
2006-08-15T05:43:20.990Z,-9.273,150.481,10,5.7
2006-08-17T11:11:35.540Z,55.617,161.686,55,5.7
2006-08-17T15:20:35.020Z,46.542,141.908,14,5.6
2006-08-20T03:01:02.410Z,49.823,156.415,26,6
2006-08-23T23:15:21.910Z,-4.245,152.815,40.6,5.6
2006-08-24T21:50:36.650Z,51.148,157.522,43,6.5
2006-08-28T14:24:07.590Z,-10.756,165.057,16.7,5.6
2006-08-29T10:53:06.250Z,-0.348,125.123,36,5.8
2006-08-31T08:08:27.420Z,-0.267,125.061,36,5.8
2006-08-31T22:58:25.800Z,28.798,130.03,33.2,5.5
2006-09-01T10:18:51.600Z,-6.759,155.512,38,6.8
2006-09-01T10:25:17.130Z,53.263,159.699,51.4,5.7
2006-09-05T04:53:02.100Z,7.678,126.433,135.2,5.8
2006-09-12T15:56:30.770Z,8.283,126.49,36.2,5.5
2006-09-15T10:13:14.810Z,-6.018,150.471,27.7,5.8
2006-09-16T09:45:23.910Z,-3.08,129.441,17,6.3
2006-09-21T18:54:50.050Z,-9.05,110.365,25,6
2006-09-25T02:43:37.200Z,-0.179,124.83,35,5.7
2006-09-28T01:36:48.330Z,46.462,153.36,11,5.9
